association_name,canonical,score,wup,bert,method,verb_tokens,prep_tokens,adverb_tokens,all_tokens,participants,occurrence_count,low_confidence
PackagingClusterContainsBottleOrKegSet,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,packaging | cluster | contains | bottle | or | keg | set,BottleOrKegSet + PackagingCluster,2,
PackagingClusterContainsCleaningKit,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,packaging | cluster | contains | cleaning | kit,CleaningKit + PackagingCluster,2,
PatentTechTransfer,ReceivesAction,0.453,0.8,0.1061,wup+bert,,,,patent | tech | transfer,Patent + TechTransfer,2,YES
PathwayDischargeOrder,Causes,0.615,1.0,0.2301,wup+bert,,,pathway,pathway | discharge | order,CarePathway + DischargeOrder,1,
PathwayProcedure,Connects,0.4885,0.8421,0.1349,wup+bert,,,pathway,pathway | procedure,CarePathway + MedicalProcedure,1,YES
PathwayProtocol,Connects,0.4037,0.5263,0.281,wup+bert,,,pathway,pathway | protocol,CarePathway + ClinicalProtocol,1,YES
PathwayReferralOrder,CapableOf,0.5894,1.0,0.1788,wup+bert,,,pathway,pathway | referral | order,CarePathway + ReferralOrder,1,
PatientAdmission,IsA,0.499,0.7778,0.2203,wup+bert,,,,patient | admission,Admission + Patient,1,YES
PatientAllergy,IsA,0.4247,0.7692,0.0802,wup+bert,,,,patient | allergy,Allergy + Patient,1,YES
PatientConsentForm,IsA,0.5875,1.0,0.175,wup+bert,,,,patient | consent | form,ConsentForm + Patient,1,
PatientEncounter,HasPrerequisite,0.6129,1.0,0.2258,wup+bert,,,,patient | encounter,ClinicalEncounter + Patient,1,
PatientInpatientStay,IsA,0.48,0.7692,0.1907,wup+bert,,,,patient | inpatient | stay,InpatientStay + Patient,1,YES
PatientRoomContainsBed,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,patient | room | contains | bed,Bed + PatientRoom,2,
PatientRoomOnFloor,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,patient | room | on | floor,Floor + PatientRoom,2,
PermitForFacility,AtLocation,0.5186,0.0,0.5186,wup+bert,,for,,permit | for | facility,ParkingFacility + ParkingPermit,4,
PersonParticipatesInAdvisingSession,Causes,0.5163,0.5,0.5325,wup+bert,participates,in,,person | participates | in | advising | session,AdvisingSession + Person,2,
PersonParticipatesInClassMeeting,Causes,0.5163,0.5,0.5325,wup+bert,participates,in,,person | participates | in | class | meeting,ClassMeeting + Person,2,
PharmacistInPharmacy,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,pharmacist | in | pharmacy,CentralPharmacy + Pharmacist; Pharmacist + PharmacySpace,6,
PharmacyInBuilding,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,pharmacy | in | building,Building + CentralPharmacy,2,
PharmacyOnFloor,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,pharmacy | on | floor,CentralPharmacy + Floor; Floor + PharmacySpace,4,
PhysicianHasPrivileges,HasA,0.7344,1.0,0.4688,wup+bert,has | privileges,,,physician | has | privileges,Hospital + Physician,4,
PhysicianInDepartment,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,physician | in | department,ClinicalDepartment + Physician,2,
PistonAssemblyDrivesCrankshaft,UsedFor,0.8104,1.0,0.6208,wup+bert,drives,,,piston | assembly | drives | crankshaft,Crankshaft + PistonAssembly,2,
PistonInCylinder,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,piston | in | cylinder,Cylinder + Piston,2,
PlugInRoom,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,plug | in | room,Room + SmartPlug,2,
PlungerInAeropress,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,plunger | in | aeropress,AeropressChamber + AeropressPlunger,2,
PlungerInFrenchPress,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,plunger | in | french | press,FrenchPress + FrenchPressPlunger,2,
PneumaticTubeConnectsLab,Connects,0.7471,1.0,0.4941,wup+bert,connects,,,pneumatic | tube | connects | lab,ClinicalLaboratory + PneumaticTubeTerminal,2,
PneumaticTubeConnectsPharmacy,Connects,0.8927,1.0,0.7855,wup+bert,connects,,,pneumatic | tube | connects | pharmacy,CentralPharmacy + PneumaticTubeTerminal,2,
PneumaticTubeNetwork,Causes,0.5284,0.6667,0.3901,wup+bert,,,,pneumatic | tube | network,PneumaticTubeTerminal + PneumaticTubeTerminal,2,
PortafilterLocksInGroup,Connects,0.5861,0.75,0.4222,wup+bert,locks,in,,portafilter | locks | in | group,GroupHead + Portafilter,2,
PortafilterLocksInGroupHead,Connects,0.5861,0.75,0.4222,wup+bert,locks,in,,portafilter | locks | in | group | head,GroupHead + Portafilter,4,
PowerGenToDeliveryCoupling,Connects,0.58,1.0,0.1599,wup+bert,,to,,power | gen | to | delivery | coupling,ClutchOrConverter + CombustionAssembly,2,
PowerMonitorOnCircuit,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,power | monitor | on | circuit,PowerMonitor + SmartCircuitBreaker,2,
PowerPanelSuppliesImagingRoom,UsedFor,0.8066,1.0,0.6131,wup+bert,supplies,,,power | panel | supplies | imaging | room,ImagingRoom + PowerPanel,2,
PowerPanelSuppliesOperatingRoom,UsedFor,0.8066,1.0,0.6131,wup+bert,supplies,,,power | panel | supplies | operating | room,OperatingRoom + PowerPanel,2,
PowerPanelSuppliesPatientRoom,UsedFor,0.8066,1.0,0.6131,wup+bert,supplies,,,power | panel | supplies | patient | room,PatientRoom + PowerPanel,2,
PowerSupplySystemPowersCoffeeMakerAssembly,UsedFor,0.8222,1.0,0.6444,wup+bert,powers,,,power | supply | system | powers | coffee | maker | assembly,CoffeeMakerAssembly + PowerSupplySystem,2,
PreInfusionInGroupHead,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,pre | infusion | in | group | head,GroupHead + PreInfusionChamber,2,
PreparationZoneIncludesAccessoryRole,HasA,0.8471,1.0,0.6943,wup+bert,includes,,,preparation | zone | includes | accessory | role,AccessoryRole + PreparationZone,2,
PreparationZoneIncludesEquipmentRole,HasA,0.8471,1.0,0.6943,wup+bert,includes,,,preparation | zone | includes | equipment | role,EquipmentRole + PreparationZone,2,
PreparationZoneIncludesStorageRole,HasA,0.8471,1.0,0.6943,wup+bert,includes,,,preparation | zone | includes | storage | role,PreparationZone + StorageRole,2,
PrimingSugarContainerStoredAdjacentToBottleSet,ReceivesAction,0.3639,0.5714,0.1564,wup+bert,stored,to,,priming | sugar | container | stored | adjacent | to | bottle | set,BottleSet + PrimingSugarContainer,2,YES
PrinterInComputerLab,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,printer | in | computer | lab,ComputerLab + Printer,2,
PrinterInRoom,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,printer | in | room,Printer + Room,2,
ProbeOnController,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,probe | on | controller,TemperatureController + TemperatureProbe,2,
ProceduralClusterContainsProcedureSuite,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,procedural | cluster | contains | procedure | suite,ProceduralCluster + ProcedureSuite,2,
ProcedureDiagnosticTest,IsA,0.475,0.8,0.15,wup+bert,,,,procedure | diagnostic | test,DiagnosticTest + MedicalProcedure,1,YES
ProcedureImagingRequest,MadeOf,0.3639,0.5714,0.1563,wup+bert,imaging,,,procedure | imaging | request,ImagingRequest + MedicalProcedure,1,YES
ProgramAccreditation,CapableOf,0.5203,0.8571,0.1834,wup+bert,,,,program | accreditation,AcademicProgram + Accreditation,1,
ProgramCapstone,CapableOf,0.5529,0.8571,0.2487,wup+bert,,,,program | capstone,AcademicProgram + Capstone,1,
ProgramConcentration,CapableOf,0.5452,0.8571,0.2333,wup+bert,,,,program | concentration,AcademicProgram + Concentration,1,
ProgramCurriculum,CapableOf,0.543,0.8571,0.2288,wup+bert,,,,program | curriculum,AcademicProgram + Curriculum,1,
ProgramDegreeRequirement,HasPrerequisite,0.5438,1.0,0.0877,wup+bert,,,,program | degree | requirement,AcademicProgram + DegreeRequirement,1,
ProgramInDepartment,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,program | in | department,AcademicProgram + Department,2,
ProgramRequiresCourse,HasPrerequisite,0.8797,1.0,0.7594,wup+bert,requires,,,program | requires | course,Course + Program,2,
ProgressEvaluationProducesCredential,Causes,0.7887,1.0,0.5774,wup+bert,produces,,,progress | evaluation | produces | credential,Credential + ProgressEvaluation,2,
ProjectEthicsReview,AtLocation,0.3888,0.6667,0.1109,wup+bert,review,,,project | ethics | review,EthicsReview + ResearchProject,1,YES
ProjectGrant,UsedFor,0.5089,0.6667,0.3511,wup+bert,,,,project | grant,Grant + ResearchProject,1,
ProjectPatent,Causes,0.4582,0.6667,0.2497,wup+bert,,,,project | patent,Patent + ResearchProject,1,YES
ProjectPublication,Causes,0.4714,0.6667,0.2762,wup+bert,,,,project | publication,Publication + ResearchProject,1,YES
ProjectResearcher,Causes,0.4782,0.6667,0.2897,wup+bert,,,,project | researcher,ResearchProject + Researcher,1,YES
ProjectorInClassroom,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,projector | in | classroom,Classroom + Projector,2,
ProtocolQualityMetric,UsedFor,0.4653,0.8333,0.0972,wup+bert,,,,protocol | quality | metric,ClinicalProtocol + QualityMetric,1,YES
PumpConnectsVessels,Connects,0.746,1.0,0.4919,wup+bert,connects,,,pump | connects | vessels,BrewPump + MashTun,2,
PumpDrawsFromBoiler,MadeOf,0.5779,0.8571,0.2987,wup+bert,draws,from,,pump | draws | from | boiler,Boiler + PumpAssembly,2,
PumpPressuresGroupHead,UsedFor,0.5717,0.8571,0.2862,wup+bert,pressures,,,pump | pressures | group | head,GroupHead + PumpAssembly,4,
PumpRecirculatesMash,RelatedTo,0.2084,0.0,0.4167,fallback,,,,pump | recirculates | mash,BrewPump + MashTun,4,YES
PumpTransfersWort,AtLocation,0.4131,0.6667,0.1596,wup+bert,transfers | wort,,,pump | transfers | wort,BrewKettle + BrewPump,2,YES
PurifierServesRoom,UsedFor,0.7834,1.0,0.5668,wup+bert,serves,,,purifier | serves | room,AirPurifier + Room,2,
QDConnectsTubing,Connects,0.7076,1.0,0.4152,wup+bert,connects,,,qd | connects | tubing,QuickDisconnect + SiliconeTubing,2,
QDOnTubing,Causes,0.4249,0.5,0.3499,wup+bert,,on,,qd | on | tubing,QuickDisconnect + SiliconeTubing,2,YES
ROSuppliesHLT,UsedFor,0.7219,1.0,0.4438,wup+bert,supplies | hlt,,,ro | supplies | hlt,HotLiquorTank + ROSystem,2,
RearCornerModuleContainsBrakeModule,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,rear | corner | module | contains | brake | module,BrakeModule + RearCornerModule,2,
RearCornerModuleContainsSuspensionModule,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,rear | corner | module | contains | suspension | module,RearCornerModule + SuspensionModule,2,
RearCornerModuleContainsWheelTireModule,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,rear | corner | module | contains | wheel | tire | module,RearCornerModule + WheelTireModule,2,
RecreationITServices,UsedFor,0.6852,1.0,0.3704,wup+bert,services,,,recreation | it | services,ITServices + RecreationCenter,1,
RegistrationAppliesToCourseSection,HasPrerequisite,0.6387,0.7692,0.5082,wup+bert,applies,to,,registration | applies | to | course | section,CourseSection + Registration,2,
RegulatorPressuresKeg,UsedFor,0.5717,0.8571,0.2862,wup+bert,pressures,,,regulator | pressures | keg,CO2Regulator + Keg,2,
RegulatorToManifold,PartOf,0.3436,0.0,0.3436,wup+bert,,to,,regulator | to | manifold,CO2Regulator + GasManifold,4,YES
ResearchLabInRoom,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,research | lab | in | room,ResearchLab + Room,2,
ReservoirFeedsBoiler,UsedFor,0.7558,1.0,0.5115,wup+bert,feeds,,,reservoir | feeds | boiler,Boiler + WaterReservoir,4,
ReservoirFeedsDripMachine,UsedFor,0.6992,1.0,0.3984,wup+bert,feeds,,,reservoir | feeds | drip | machine,DripBrewMachine + WaterReservoir,2,
ReservoirFeedsEspressoMachine,UsedFor,0.7558,1.0,0.5115,wup+bert,feeds,,,reservoir | feeds | espresso | machine,EspressoMachine + WaterReservoir,2,
ReservoirFeedsThermoblock,UsedFor,0.7558,1.0,0.5115,wup+bert,feeds,,,reservoir | feeds | thermoblock,Thermoblock + WaterReservoir,2,
ResidenceHallIsBuilding,HasPrerequisite,0.7964,1.0,0.5929,wup+bert,is,,,residence | hall | is | building,Building + ResidenceHall,2,
ResultAttributedToStudent,HasA,0.6631,1.0,0.3263,wup+bert,attributed,to,,result | attributed | to | student,Result + Student,2,
RingOnPiston,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,ring | on | piston,Piston + PistonRing,2,
RodLinksPistonToCrankshaft,Connects,0.7108,1.0,0.4216,wup+bert,links,to,,rod | links | piston | to | crankshaft,ConnectingRod + Crankshaft + Piston,2,
RoomContainsCamera,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,room | contains | camera,Camera + Room,2,
RoomContainsDoorLock,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,room | contains | door | lock,DoorLock + Room,2,
RoomContainsLightingFixture,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,room | contains | lighting | fixture,LightingFixture + Room,2,
RoomContainsMotionSensor,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,room | contains | motion | sensor,MotionSensor + Room,2,
RoomContainsSpeakerDisplay,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,room | contains | speaker | display,Room + SpeakerDisplay,2,
RoomContainsThermostat,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,room | contains | thermostat,Room + Thermostat,2,
RoomContainsWindowShade,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,room | contains | window | shade,Room + WindowShade,2,
RoomHostsAdvisingSession,Connects,0.492,0.4444,0.5396,wup+bert,hosts,,,room | hosts | advising | session,AdvisingSession + Room,2,YES
RoomHostsClassMeeting,Connects,0.492,0.4444,0.5396,wup+bert,hosts,,,room | hosts | class | meeting,ClassMeeting + Room,2,YES
RoomInBuilding,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,room | in | building,Building + Room,2,
RoomInZone,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,room | in | zone,Room + Zone,2,
RoomOnFloor,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,room | on | floor,Floor + Room,4,
RotorOnHub,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,rotor | on | hub,BrakeRotor + WheelHub,2,
RoundClinicalNote,ReceivesAction,0.6072,1.0,0.2145,wup+bert,,,,round | clinical | note,ClinicalNote + PatientRound,1,
SafetyEquipmentInLab,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,safety | equipment | in | lab,Laboratory + SafetyEquipment,2,
SafetyValveOnMoka,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,safety | valve | on | moka,MokaBottomChamber + MokaSafetyValve,2,
SanitationSupplyServesFermenter,UsedFor,0.7834,1.0,0.5668,wup+bert,serves,,,sanitation | supply | serves | fermenter,Fermenter + SanitationSupply,2,
SanitizerBottleServesFermentationBucket,UsedFor,0.7834,1.0,0.5668,wup+bert,serves,,,sanitizer | bottle | serves | fermentation | bucket,FermentationBucket + SanitizerBottle,2,
SanitizerBottleServesKettle,UsedFor,0.7834,1.0,0.5668,wup+bert,serves,,,sanitizer | bottle | serves | kettle,Kettle + SanitizerBottle,2,
SatellitePharmacyServesUnit,UsedFor,0.7834,1.0,0.5668,wup+bert,serves,,,satellite | pharmacy | serves | unit,NursingUnit + SatellitePharmacy,4,
ScaleUnderCup,AtLocation,1.0,0.0,1.0,spatial_prep,,under,,scale | under | cup,CoffeeScale + EspressoCup,6,
ScaleUnderDripper,AtLocation,1.0,0.0,1.0,spatial_prep,,under,,scale | under | dripper,CoffeeScale + CoffeeServer,2,
ScaleUnderServer,AtLocation,1.0,0.0,1.0,spatial_prep,,under,,scale | under | server,CoffeeScale + CoffeeServer,4,
ScreenInClassroom,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,screen | in | classroom,Classroom + DisplayScreen,2,
ScreenInGroupHead,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,screen | in | group | head,DispersionScreen + GroupHead,2,
SeamerSealsCan,Connects,0.583,0.8333,0.3326,wup+bert,seals,,,seamer | seals | can,BeerCan + CanSeamer,4,
SeatingAreaAccommodatesConsumer,UsedFor,0.683,0.8571,0.5088,wup+bert,accommodates,,,seating | area | accommodates | consumer,Consumer + SeatingArea,2,
SeatingRoleAccommodatesConsumerRole,UsedFor,0.683,0.8571,0.5088,wup+bert,accommodates,,,seating | role | accommodates | consumer | role,ConsumerRole + SeatingRole,2,
SectionInLab,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,section | in | lab,CourseSection + ResearchLab,2,
SectionInTerm,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,section | in | term,AcademicTerm + CourseSection,4,
SectionMeetsInClassroom,CapableOf,0.6111,0.8571,0.3652,wup+bert,meets,in,,section | meets | in | classroom,Classroom + CourseSection,4,
SectionMeetsInLab,CapableOf,0.5788,0.8571,0.3005,wup+bert,meets,in,,section | meets | in | lab,CourseSection + Laboratory,2,
SectionMeetsInLectureHall,CapableOf,0.6111,0.8571,0.3652,wup+bert,meets,in,,section | meets | in | lecture | hall,CourseSection + LectureHall,2,
SectionMeetsInRoom,CapableOf,0.6111,0.8571,0.3652,wup+bert,meets,in,,section | meets | in | room,CourseSection + Room,2,
SectionMeetsInSpace,CapableOf,0.6111,0.8571,0.3652,wup+bert,meets,in,,section | meets | in | space,CourseSection + InstructionalSpace,2,
SectionOfCourse,HasPrerequisite,0.4351,0.0,0.4351,wup+bert,,of,,section | of | course,Course + CourseSection,4,YES
SectionOnLMS,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,section | on | lms,CourseSection + LearningManagementSystem,2,
SectionOnPlatform,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,section | on | platform,CourseSection + SoftwarePlatform,2,
SecurityPanelControlsSiren,CapableOf,0.7714,1.0,0.5429,wup+bert,controls,,,security | panel | controls | siren,SecurityPanel + SmartSiren,4,
SecurityPanelManagesSensor,CapableOf,0.8129,1.0,0.6259,wup+bert,manages,,,security | panel | manages | sensor,DoorWindowSensor + SecurityPanel,2,
SecurityPanelManagesSensors,CapableOf,0.6594,1.0,0.3189,wup+bert,manages,,,security | panel | manages | sensors,DoorWindowSensor + SecurityPanel,2,
SecurityStateTriggersNotification,Causes,0.8278,1.0,0.6557,wup+bert,triggers,,,security | state | triggers | notification,Notification + SecurityState,2,
SecuritySystemMonitorsZone,ReceivesAction,0.6774,1.0,0.3549,wup+bert,monitors,,,security | system | monitors | zone,SecuritySystem + Zone,2,
SensorDeployedInRoom,AtLocation,0.6128,0.6667,0.5589,wup+bert,deployed,in,,sensor | deployed | in | room,Room + TemperatureSensor,2,
SensorGroupObservesEnergyState,ReceivesAction,0.8298,1.0,0.6596,wup+bert,observes,,,sensor | group | observes | energy | state,EnergyState + SensorGroup,2,
SensorGroupObservesEnvironmentalState,ReceivesAction,0.8298,1.0,0.6596,wup+bert,observes,,,sensor | group | observes | environmental | state,EnvironmentalState + SensorGroup,2,
SensorGroupObservesOccupancyState,ReceivesAction,0.8298,1.0,0.6596,wup+bert,observes,,,sensor | group | observes | occupancy | state,OccupancyState + SensorGroup,2,
SensorGroupObservesSecurityState,ReceivesAction,0.8298,1.0,0.6596,wup+bert,observes,,,sensor | group | observes | security | state,SecurityState + SensorGroup,2,
ServerPoursToCup,UsedFor,0.5886,0.8571,0.3201,wup+bert,pours | cup,to,,server | pours | to | cup,CoffeeMug + CoffeeServer,6,
ServerRackSupportsNurseCallPanel,UsedFor,0.6061,0.6667,0.5456,wup+bert,supports,,,server | rack | supports | nurse | call | panel,NurseCallPanel + ServerRack,2,
ServiceRoleIncludesServingVesselRole,HasA,0.8471,1.0,0.6943,wup+bert,includes,,,service | role | includes | serving | vessel | role,ServiceRole + ServingVesselRole,2,
ServiceUnitServesPerson,UsedFor,0.7834,1.0,0.5668,wup+bert,serves,,,service | unit | serves | person,Person + ServiceUnit,2,
ServingContextContainsCarafe,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,serving | context | contains | carafe,Carafe + ServingContext,2,
ServingContextContainsCup,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,serving | context | contains | cup,Cup + ServingContext,2,
ShaftToDifferentialInput,CapableOf,0.3203,0.0,0.3203,wup+bert,,to,,shaft | to | differential | input,Differential + PropellerShaft,2,YES
ShowerHeadDistributes,UsedFor,0.6301,0.8,0.4602,wup+bert,distributes,,,shower | head | distributes,BrewBasket + ShowerHead,2,
ShuttleVehicleOnRoute,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,shuttle | vehicle | on | route,ShuttleRoute + ShuttleVehicle,2,
SightGlassOnTubing,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,sight | glass | on | tubing,SightGlass + SiliconeTubing,2,
SiphonTransfers,AtLocation,0.4419,0.6667,0.2171,wup+bert,transfers,,,siphon | transfers,AutoSiphon + Fermenter,2,YES
SiphonTransfersLiquid,HasA,0.4512,0.7273,0.1751,wup+bert,transfers | liquid,,,siphon | transfers | liquid,AutoSiphon + Fermenter,2,YES
SmartPlugMonitoredByMeter,ReceivesAction,0.8521,1.0,0.7041,wup+bert,monitored,by,,smart | plug | monitored | by | meter,SmartEnergyMeter + SmartPlug,2,
SmartPlugOnCircuit,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,smart | plug | on | circuit,SmartCircuitBreaker + SmartPlug,2,
SmartPlugPowersAppliance,UsedFor,0.8222,1.0,0.6444,wup+bert,powers,,,smart | plug | powers | appliance,Appliance + SmartPlug,2,
SmokeDetectorInRoom,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,smoke | detector | in | room,Room + SmokeDetector,2,
SmokeDetectorTriggersSiren,Causes,0.8278,1.0,0.6557,wup+bert,triggers,,,smoke | detector | triggers | siren,SmartSiren + SmokeDetector,2,
SmokeTriggersSiren,Causes,0.8278,1.0,0.6557,wup+bert,triggers,,,smoke | triggers | siren,SmartSiren + SmokeDetector,2,
SolarArrayToInverter,UsedFor,0.3473,0.0,0.3473,wup+bert,,to,,solar | array | to | inverter,SolarArray + SolarInverter,2,YES
SolarOnBuilding,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,solar | on | building,Building + SolarInstallation,2,
SolarPanelChargesBattery,CapableOf,0.4321,0.5,0.3642,wup+bert,charges,,,solar | panel | charges | battery,HomeBattery + SolarPanel,2,YES
SolarPanelToInverter,UsedFor,0.3473,0.0,0.3473,wup+bert,,to,,solar | panel | to | inverter,SolarInverter + SolarPanel,2,YES
SolenoidControlsFlow,CapableOf,0.6695,1.0,0.339,wup+bert,controls | flow,,,solenoid | controls | flow,GroupHead + Solenoid,2,
SpargeArmOnMashTun,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,sparge | arm | on | mash | tun,MashTun + SpargeArm,4,
SparkPlugInCylinder,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,spark | plug | in | cylinder,Cylinder + SparkPlug,2,
SpeakerInAudioGroup,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,speaker | in | audio | group,AudioReceiver + SmartSpeaker,4,
SpeakerInRoom,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,speaker | in | room,Room + SmartSpeaker,4,
SpigotOnFermenter,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,spigot | on | fermenter,Fermenter + Spigot,2,
SportsTeamUseFacility,HasPrerequisite,0.5243,0.5,0.5485,wup+bert,,,,sports | team | use | facility,AthleticFacility + SportsTeam,2,
SpoutDispensesToCup,UsedFor,0.5256,0.6667,0.3845,wup+bert,dispenses,to,,spout | dispenses | to | cup,EspressoCup + PortafilterSpout,2,
SpoutOnPortafilter,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,spout | on | portafilter,Portafilter + PortafilterSpout,2,
StabilityModulatesBraking,Causes,0.7821,1.0,0.5642,wup+bert,modulates,,,stability | modulates | braking,BrakingHardware + StabilitySystem,2,
StaffInDepartment,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,staff | in | department,Department + StaffMember,4,
StaffMemberSupportsStudentServicesSystem,UsedFor,0.6061,0.6667,0.5456,wup+bert,supports,,,staff | member | supports | student | services | system,StaffMember + StudentServicesSystem,2,
StaffWorksInOffice,UsedFor,0.6516,0.8571,0.4461,wup+bert,works,in,,staff | works | in | office,AdministrativeOffice + StaffMember,2,
StandaloneFrotherFrothsMilk,Connects,0.3325,0.4,0.265,wup+bert,froths,,,standalone | frother | froths | milk,MilkFrother + MilkPitcher,2,YES
StarterEngagesFlywheel,Causes,0.5053,0.5,0.5105,wup+bert,engages,,,starter | engages | flywheel,Flywheel + StarterMotor,4,
StarterFlaskOnStirPlate,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,starter | flask | on | stir | plate,StirPlate + YeastStarterFlask,2,
StarterMotorToEngineCranking,UsedFor,0.5177,0.0,0.5177,wup+bert,,to,,starter | motor | to | engine | cranking,Engine + StarterMotor,2,
StartupIndustryPartner,UsedFor,0.557,0.8571,0.2568,wup+bert,,,,startup | industry | partner,IndustryPartner + Startup,1,
SteamWandFrothsMilk,Connects,0.3894,0.4,0.3787,wup+bert,froths,,,steam | wand | froths | milk,MilkPitcher + SteamWand,6,YES
SteeringActuatesKnuckle,Causes,0.7409,1.0,0.4818,wup+bert,actuates,,,steering | actuates | knuckle,SteeringKnuckle + SteeringMechanism,2,
SteeringRackOrientsWheel,CapableOf,0.5275,0.6667,0.3883,wup+bert,orients,,,steering | rack | orients | wheel,SteeringRack + Wheel,2,
SteeringRackToWheelLinkage,UsedFor,0.42,0.0,0.42,wup+bert,,to,,steering | rack | to | wheel | linkage,SteeringRack + Wheel,2,YES
SteeringRackTurnsHubs,Connects,0.3935,0.4,0.3869,wup+bert,turns,,,steering | rack | turns | hubs,SteeringRack + WheelHub,2,YES
SteeringWheelToRack,Connects,0.4801,0.0,0.4801,wup+bert,,to,,steering | wheel | to | rack,SteeringRack + SteeringWheel,2,YES
SterileProcessingServesOR,UsedFor,0.7641,1.0,0.5283,wup+bert,serves,,,sterile | processing | serves | or,OperatingRoom + SterileProcessingUnit,2,
SterilizationUnitSupportsProcedureSuite,UsedFor,0.6061,0.6667,0.5456,wup+bert,supports,,,sterilization | unit | supports | procedure | suite,ProcedureSuite + SterilizationUnit,2,
StopOnRoute,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,stop | on | route,ShuttleRoute + ShuttleStop,2,
StopperContainsAirlock,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,stopper | contains | airlock,Airlock + Stopper,2,
StopperOnFermenter,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,stopper | on | fermenter,Fermenter + Stopper,2,
StorageRoleHoldsSupplyRole,HasA,0.7729,1.0,0.5457,wup+bert,holds,,,storage | role | holds | supply | role,StorageRole + SupplyRole,2,
StorageSystemContainsBeanContainer,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,storage | system | contains | bean | container,BeanContainer + StorageSystem,2,
StorageSystemContainsFilterContainer,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,storage | system | contains | filter | container,FilterContainer + StorageSystem,2,
StreamingDeviceToTV,UsedFor,0.4587,0.0,0.4587,wup+bert,,to,,streaming | device | to | tv,SmartTV + StreamingDevice,4,YES
StructuralBaySupportsAirHandlingTerminal,UsedFor,0.6061,0.6667,0.5456,wup+bert,supports,,,structural | bay | supports | air | handling | terminal,AirHandlingTerminal + StructuralBay,2,
StructuralBaySupportsCircuitBreakerPanel,UsedFor,0.6061,0.6667,0.5456,wup+bert,supports,,,structural | bay | supports | circuit | breaker | panel,CircuitBreakerPanel + StructuralBay,2,
